pos,0.0
compound,-0.5859
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.358
neu,0.123
pos,0.519
compound,0.3182
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,0.58
pos,0.42
compound,0.4404
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,0.702
pos,0.298
compound,0.1779
neg,0.626
neu,0.374
pos,0.0
compound,-0.7717
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.373
neu,0.267
pos,0.36
compound,-0.0258
neg,0.286
neu,0.714
pos,0.0
compound,-0.34
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,0.58
pos,0.42
compound,0.4404
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,0.702
pos,0.298
compound,0.1779
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.626
neu,0.374
pos,0.0
compound,-0.7717
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.429
neu,0.571
pos,0.0
compound,-0.4588
neg,0.0
neu,0.26
pos,0.74
compound,0.6908
neg,0.389
neu,0.421
pos,0.189
compound,-0.4404
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,0.645
pos,0.355
compound,0.296
neg,0.0
neu,0.536
pos,0.464
compound,0.3818
neg,0.268
neu,0.732
pos,0.0
compound,-0.296
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.623
neu,0.377
pos,0.0
compound,-0.5106
neg,0.231
neu,0.769
pos,0.0
compound,-0.34
neg,0.0
neu,0.508
pos,0.492
compound,0.4404
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.2
neu,0.8
pos,0.0
compound,-0.128
neg,0.286
neu,0.714
pos,0.0
compound,-0.34
neg,0.0
neu,0.625
pos,0.375
compound,0.6369
neg,0.0
neu,0.417
pos,0.583
compound,0.6369
neg,0.0
neu,0.424
pos,0.576
compound,0.7783
neg,0.293
neu,0.707
pos,0.0
compound,-0.4404
neg,0.0
neu,0.755
pos,0.245
compound,0.0772
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.796
neu,0.204
pos,0.0
compound,-0.5994
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,0.638
pos,0.362
compound,0.1779
